station,city,state,country,data_source,longitude,latitude,data_type,ts,aqius,aqicn,pm25,pm10,tp,tp_min,hu,pr,ws,wd,pop,ic,hour,date,weekday,aqi_level,aqi_color,comment
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 10:00:00+00:00,58.0,19.0,13.0,,22,,19,1016,3.21,299,0,01d,10,2024-11-02,Saturday,Moderate,#FFCF01,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 09:00:00+00:00,68.0,26.0,18.0,,23,,19,1016,3.33,304,0,01d,9,2024-11-02,Saturday,Moderate,#FFCF01,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 08:00:00+00:00,69.0,27.0,19.0,,23,,19,1016,2.9,302,0,01d,8,2024-11-02,Saturday,Moderate,#FFCF01,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 06:00:00+00:00,68.0,26.0,18.0,,23,,19,1016,2.66,300,0,01d,6,2024-11-02,Saturday,Moderate,#FFCF01,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 05:00:00+00:00,86.0,40.0,28.0,,23,,20,1017,2.71,301,0,01d,5,2024-11-02,Saturday,Moderate,#FFCF01,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 04:00:00+00:00,77.0,33.0,23.0,,22,,21,1018,2.52,300,0,01d,4,2024-11-02,Saturday,Moderate,#FFCF01,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 03:00:00+00:00,153.0,80.0,59.0,,21,,23,1020,2.14,299,0,01d,3,2024-11-02,Saturday,Unhealthy,#FF3333,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 02:00:00+00:00,,,,,19,,26,1020,1.83,300,0,01d,2,2024-11-02,Saturday,Unknown,#000000,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-02 00:00:00+00:00,62.0,21.0,15.0,,18,,29,1021,1.16,306,0,01d,0,2024-11-02,Saturday,Moderate,#FFCF01,
,Quetta,Balochistan,Pakistan,city,67.00141,30.18414,history,2024-11-01 23:00:00+00:00,58.0,19.0,13.0,,16,,34,1021,0.84,344,0,01d,23,2024-11-01,Friday,Moderate,#FFCF01,
